年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,30,土,いちご,46100,,,397487,1468,115.4,100.3
2021,1,30,土,メロン計,47000,,,20796,740,78.5,104.1
2021,1,30,土,すいか,48100,,,13917,261,99.7,79.6
2021,1,30,土,キウイフルツ,49300,,,63984,526,56.7,101.9
2021,1,30,土,バナナ,50100,,,602771,160,97.4,113.5
2021,1,30,土,パイナップル,50300,,,87291,152,99.8,118.8
2021,1,30,土,レモン,50400,,,29873,304,124.5,89.7
2021,1,30,土,オレンジ,50600,,,46063,222,70.6,96.5
2021,1,30,土,輸入おうとう,50700,,,40,2160,−,−
2021,1,30,土,輸入キウイ,50800,,,22133,444,87.6,128.3
2021,1,30,土,輸入メロン,50850,,,5107,226,79.7,121.5
2021,2,1,月,みかん,40100,,,1140900,284,99.0,110.9
2021,2,1,月,はっさく,41321,,,126444,191,178.6,108.5
2021,2,1,月,りんご計,42000,,,906212,283,115.3,99.3
2021,2,1,月,日本なし計,43000,,,5540,382,−,−
2021,2,1,月,かき計,43500,,,13217,408,26.1,91.3
2021,2,1,月,おうとう,44800,,,18,16458,163.6,87.3
2021,2,1,月,ぶどう計,45000,,,9240,818,192.1,47.1
2021,2,1,月,いちご,46100,,,516343,1446,129.9,98.5
2021,2,1,月,メロン計,47000,,,30283,753,145.6,101.8
2021,2,1,月,すいか,48100,,,5678,486,40.8,186.2
2021,2,1,月,キウイフルツ,49300,,,106918,527,167.1,100.2
2021,2,1,月,バナナ,50100,,,369298,166,61.3,103.8
2021,2,1,月,パイナップル,50300,,,53599,164,61.4,107.9
2021,2,1,月,レモン,50400,,,14801,330,49.5,108.6
2021,2,1,月,オレンジ,50600,,,35748,213,77.6,95.9
2021,2,1,月,輸入おうとう,50700,,,350,1864,875.0,86.3
2021,2,1,月,輸入キウイ,50800,,,18340,432,82.9,97.3
2021,2,1,月,輸入メロン,50850,,,6574,145,128.7,64.2
2021,2,2,火,みかん,40100,,,1003561,269,88.0,94.7
2021,2,2,火,はっさく,41321,,,109869,190,86.9,99.5
2021,2,2,火,りんご計,42000,,,709623,278,78.3,98.2
2021,2,2,火,日本なし計,43000,,,1020,283,18.4,74.1
2021,2,2,火,かき計,43500,,,47320,439,358.0,107.6
2021,2,2,火,びわ,43900,,,26,5450,−,−
2021,2,2,火,おうとう,44800,,,13,13002,72.2,79.0
2021,2,2,火,ぶどう計,45000,,,6548,944,70.9,115.4
2021,2,2,火,いちご,46100,,,336700,1462,65.2,101.1
2021,2,2,火,メロン計,47000,,,20085,903,66.3,119.9
2021,2,2,火,すいか,48100,,,11647,298,205.1,61.3
2021,2,2,火,キウイフルツ,49300,,,113907,533,106.5,101.1
2021,2,2,火,バナナ,50100,,,302354,155,81.9,93.4
2021,2,2,火,パイナップル,50300,,,73950,143,138.0,87.2
2021,2,2,火,レモン,50400,,,16986,314,114.8,95.2
2021,2,2,火,オレンジ,50600,,,30412,188,85.1,88.3
2021,2,2,火,輸入おうとう,50700,,,60,2304,17.1,123.6
2021,2,2,火,輸入キウイ,50800,,,8110,393,44.2,91.0
2021,2,2,火,輸入メロン,50850,,,2967,229,45.1,157.9
2021,2,4,木,みかん,40100,,,1356324,273,135.2,101.5
2021,2,4,木,はっさく,41321,,,124100,189,113.0,99.5
2021,2,4,木,りんご計,42000,,,1010690,275,142.4,98.9
2021,2,4,木,かき計,43500,,,15650,485,33.1,110.5
2021,2,4,木,びわ,43900,,,37,6410,142.3,117.6
2021,2,4,木,おうとう,44800,,,21,15562,161.5,119.7
2021,2,4,木,ぶどう計,45000,,,4167,1679,63.6,177.9
2021,2,4,木,いちご,46100,,,522539,1450,155.2,99.2
2021,2,4,木,メロン計,47000,,,49862,745,248.3,82.5
2021,2,4,木,すいか,48100,,,4040,424,34.7,142.3
2021,2,4,木,キウイフルツ,49300,,,94770,538,80.0,104.9
2021,2,4,木,バナナ,50100,,,488957,151,161.7,97.4
2021,2,4,木,パイナップル,50300,,,66118,164,89.4,114.7
2021,2,4,木,レモン,50400,,,20061,310,118.1,98.7
2021,2,4,木,オレンジ,50600,,,23949,250,78.7,133.0
2021,2,4,木,輸入おうとう,50700,,,505,2374,841.7,103.0
2021,2,4,木,輸入キウイ,50800,,,35338,436,435.7,110.9
2021,2,4,木,輸入メロン,50850,,,4130,254,139.2,110.9
2021,2,5,金,みかん,40100,,,871655,279,64.3,102.2
2021,2,5,金,はっさく,41321,,,98691,190,79.5,100.5
2021,2,5,金,りんご計,42000,,,915346,283,90.6,102.9
2021,2,5,金,かき計,43500,,,5660,367,36.2,75.7
2021,2,5,金,おうとう,44800,,,14,15039,66.7,96.6
2021,2,5,金,ぶどう計,45000,,,7866,957,188.8,57.0
2021,2,5,金,いちご,46100,,,296395,1483,56.7,102.3
2021,2,5,金,メロン計,47000,,,28151,855,56.5,114.8
2021,2,5,金,すいか,48100,,,5628,428,139.3,100.9
2021,2,5,金,キウイフルツ,49300,,,124287,530,131.1,98.5
2021,2,5,金,バナナ,50100,,,581105,149,118.8,98.7
2021,2,5,金,パイナップル,50300,,,74552,153,112.8,93.3
2021,2,5,金,レモン,50400,,,19461,316,97.0,101.9
2021,2,5,金,オレンジ,50600,,,41176,236,171.9,94.4
2021,2,5,金,輸入おうとう,50700,,,40,2495,7.9,105.1
2021,2,5,金,輸入キウイ,50800,,,17772,502,50.3,115.1
2021,2,5,金,輸入メロン,50850,,,5738,252,138.9,99.2
2021,2,6,土,みかん,40100,,,1104384,278,126.7,99.6
2021,2,6,土,はっさく,41321,,,55311,176,56.0,92.6
2021,2,6,土,りんご計,42000,,,824107,273,90.0,96.5
2021,2,6,土,日本なし計,43000,,,42,494,−,−
2021,2,6,土,かき計,43500,,,6700,483,118.4,131.6
