年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,18,月,さといも,36300,68615,335
2021,1,18,月,たまねぎ,36610,2179081,89
2021,1,18,月,にんにく,36700,18488,1238
2021,1,18,月,しょうが,37200,25635,679
2021,1,18,月,生しいたけ,38100,83048,1028
2021,1,18,月,なめこ,38300,24805,477
2021,1,18,月,えのきだけ,38400,173951,332
2021,1,18,月,しめじ,38500,101481,515
2021,1,19,火,だいこん,30100,1339591,74
2021,1,19,火,かぶ,30200,110990,130
2021,1,19,火,にんじん,30300,813912,131
2021,1,19,火,ごぼう,30400,95287,381
2021,1,19,火,たけのこ,30500,1547,1431
2021,1,19,火,れんこん,30600,96818,392
2021,1,19,火,はくさい,31100,1906370,44
2021,1,19,火,みずな,31300,49800,373
2021,1,19,火,こまつな,31500,97498,474
2021,1,19,火,ちんげんさい,31560,36407,376
2021,1,19,火,キャベツ,31700,1773036,83
2021,1,19,火,ほうれんそう,31800,140911,626
2021,1,19,火,ねぎ,31900,437658,431
2021,1,19,火,みつば,32500,13328,538
2021,1,19,火,しゅんぎく,32600,22956,715
2021,1,19,火,にら,32800,55132,1081
2021,1,19,火,アスパラガス,33100,8395,1531
2021,1,19,火,カリフラワー,33200,37271,270
2021,1,19,火,ブロッコリー,33300,234250,494
2021,1,19,火,レタス,33400,653487,192
2021,1,19,火,きゅうり,34100,394215,384
2021,1,19,火,かぼちゃ,34200,264930,201
2021,1,19,火,なす,34300,136693,475
2021,1,19,火,トマト,34400,475854,285
2021,1,19,火,ミニトマト,34450,161275,552
2021,1,19,火,ピーマン,34500,148854,663
2021,1,19,火,ししとう,34600,5480,1174
2021,1,19,火,そらまめ,35400,10404,511
2021,1,19,火,えだまめ,35500,126,2481
2021,1,19,火,さといも,36300,77393,334
2021,1,19,火,たまねぎ,36610,2281541,91
2021,1,19,火,にんにく,36700,20976,1294
2021,1,19,火,しょうが,37200,22791,714
2021,1,19,火,生しいたけ,38100,77745,1037
2021,1,19,火,なめこ,38300,26291,484
2021,1,19,火,えのきだけ,38400,189950,337
2021,1,19,火,しめじ,38500,107426,535
2021,1,21,木,だいこん,30100,1437872,71
2021,1,21,木,かぶ,30200,119176,128
2021,1,21,木,にんじん,30300,1005518,124
2021,1,21,木,ごぼう,30400,116572,387
2021,1,21,木,たけのこ,30500,1863,1645
2021,1,21,木,れんこん,30600,103132,378
2021,1,21,木,はくさい,31100,1965526,43
2021,1,21,木,みずな,31300,56160,361
2021,1,21,木,こまつな,31500,119816,446
2021,1,21,木,ちんげんさい,31560,37458,390
2021,1,21,木,キャベツ,31700,1926320,83
2021,1,21,木,ほうれんそう,31800,185083,602
2021,1,21,木,ねぎ,31900,495456,408
2021,1,21,木,みつば,32500,12180,540
2021,1,21,木,しゅんぎく,32600,28237,696
2021,1,21,木,にら,32800,67809,1057
2021,1,21,木,アスパラガス,33100,9960,1584
2021,1,21,木,カリフラワー,33200,38051,276
2021,1,21,木,ブロッコリー,33300,241384,468
2021,1,21,木,レタス,33400,678194,217
2021,1,21,木,きゅうり,34100,611999,385
2021,1,21,木,かぼちゃ,34200,251381,213
2021,1,21,木,なす,34300,238479,464
2021,1,21,木,トマト,34400,791499,267
2021,1,21,木,ミニトマト,34450,259152,540
2021,1,21,木,ピーマン,34500,191675,669
2021,1,21,木,ししとう,34600,7410,1103
2021,1,21,木,そらまめ,35400,11111,551
2021,1,21,木,えだまめ,35500,420,2442
2021,1,21,木,さといも,36300,91969,327
2021,1,21,木,たまねぎ,36610,2173654,86
2021,1,21,木,にんにく,36700,26938,1550
2021,1,21,木,しょうが,37200,20018,705
2021,1,21,木,生しいたけ,38100,85649,1034
2021,1,21,木,なめこ,38300,26342,483
2021,1,21,木,えのきだけ,38400,193448,333
2021,1,21,木,しめじ,38500,118374,517
2021,1,22,金,だいこん,30100,1218468,70
2021,1,22,金,かぶ,30200,96559,131
2021,1,22,金,にんじん,30300,767342,122
2021,1,22,金,ごぼう,30400,84353,412
2021,1,22,金,たけのこ,30500,1708,1223
2021,1,22,金,れんこん,30600,80016,368
2021,1,22,金,はくさい,31100,1765700,42
2021,1,22,金,みずな,31300,42397,364
2021,1,22,金,こまつな,31500,90878,450
2021,1,22,金,ちんげんさい,31560,30954,389
2021,1,22,金,キャベツ,31700,1374381,87
2021,1,22,金,ほうれんそう,31800,137465,588
2021,1,22,金,ねぎ,31900,365871,412
2021,1,22,金,みつば,32500,12183,526
2021,1,22,金,しゅんぎく,32600,22782,706
2021,1,22,金,にら,32800,55457,1043
2021,1,22,金,アスパラガス,33100,7384,1303
2021,1,22,金,カリフラワー,33200,24574,264
2021,1,22,金,ブロッコリー,33300,188149,460
2021,1,22,金,レタス,33400,496116,224
2021,1,22,金,きゅうり,34100,346368,386
2021,1,22,金,かぼちゃ,34200,220659,218
2021,1,22,金,なす,34300,149223,473
2021,1,22,金,トマト,34400,442477,275
2021,1,22,金,ミニトマト,34450,176896,538
2021,1,22,金,ピーマン,34500,141965,660
2021,1,22,金,ししとう,34600,4866,1217
2021,1,22,金,そらまめ,35400,11512,567
2021,1,22,金,えだまめ,35500,433,2398
2021,1,22,金,さといも,36300,71741,324
2021,1,22,金,たまねぎ,36610,1912158,88
2021,1,22,金,にんにく,36700,27967,1624
2021,1,22,金,しょうが,37200,20328,692
2021,1,22,金,生しいたけ,38100,75393,1009
2021,1,22,金,なめこ,38300,23340,473
2021,1,22,金,えのきだけ,38400,142771,339
2021,1,22,金,しめじ,38500,84874,518
2021,1,23,土,だいこん,30100,1286506,72
2021,1,23,土,かぶ,30200,105112,130
2021,1,23,土,にんじん,30300,797424,123
2021,1,23,土,ごぼう,30400,92532,401
2021,1,23,土,たけのこ,30500,1235,1203
2021,1,23,土,れんこん,30600,98503,375
2021,1,23,土,はくさい,31100,1676490,41
2021,1,23,土,みずな,31300,48409,355
2021,1,23,土,こまつな,31500,95897,458
2021,1,23,土,ちんげんさい,31560,34128,389
2021,1,23,土,キャベツ,31700,1552476,97
2021,1,23,土,ほうれんそう,31800,157258,576
2021,1,23,土,ねぎ,31900,456835,407
2021,1,23,土,みつば,32500,12890,538
2021,1,23,土,しゅんぎく,32600,26374,701
2021,1,23,土,にら,32800,67989,1046
2021,1,23,土,アスパラガス,33100,9476,1292
2021,1,23,土,カリフラワー,33200,40653,257
2021,1,23,土,ブロッコリー,33300,233177,449
2021,1,23,土,レタス,33400,622093,220
2021,1,23,土,きゅうり,34100,402074,387
2021,1,23,土,かぼちゃ,34200,267119,201
2021,1,23,土,なす,34300,157299,459
2021,1,23,土,トマト,34400,541605,268
2021,1,23,土,ミニトマト,34450,194056,536
2021,1,23,土,ピーマン,34500,152569,650
2021,1,23,土,ししとう,34600,5712,1200
2021,1,23,土,そらまめ,35400,11602,564
